
### SHEET: f002c-001-001-002-000
作物統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収穫量累年統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水稲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,"作付面積
（子実用）",主食用作付面積,10a当たり平年収量,平年収量,8月15日現在,,9月1日現在,9月10日現在,9月15日現在,9月25日現在,10月1日現在,,,10月15日現在,,,,,,10月25日現在,,,,,,収穫期,,,,,,,
,,,,,,,,,,,,,,"ふるい目幅1.70mm
で選別",,,"生産者が使用している
ふるい目幅で選別",,作況指数,"ふるい目幅1.70mm
で選別",,,"生産者が使用している
ふるい目幅で選別",,作況指数,"ふるい目幅1.70mm
で選別",,,"生産者が使用している
ふるい目幅で選別",,10a当たり平均収量,作況指数,作況単収指数
,,,,,作柄の良否,作況指数,作況指数,作況指数,作況指数,作況指数,10a当たり予想収量,作況指数,"予想収穫量
（子実用）",10a当たり予想収量,"予想収穫量
（子実用）","予想収穫量
（主食用（生産者ふるい下米含む））",10a当たり予想収量,"予想収穫量
（主食用（生産者ふるい上米））",,10a当たり予想収量,"予想収穫量
（子実用）","予想収穫量
（主食用（生産者ふるい下米含む））",10a当たり予想収量,"予想収穫量
（主食用（生産者ふるい上米））",,10a当たり収量,"収穫量
（子実用）","収穫量
（主食用（生産者ふるい下米含む））",10a当たり収量,"収穫量
（主食用（生産者ふるい上米））",,,
,ha,ha,kg,t,,,,,,,kg,,t,kg,t,t,kg,t,,kg,t,t,kg,t,,kg,t,t,kg,t,kg,,
昭.33(1958),186000,…,306,571000,…,113,…,…,116,…,…,…,…,374,696600,…,…,…,122,…,…,…,…,…,…,385,716300,…,…,…,…,126,…
昭.34(1959),190500,…,314,599900,…,109,…,…,115,…,…,…,…,382,728900,…,…,…,121,…,…,…,…,…,…,392,746800,…,…,…,…,125,…
昭.35(1960),197100,…,338,666700,…,114,…,…,119,…,…,…,…,399,786200,…,…,…,118,…,…,…,…,…,…,400,789800,…,…,…,…,119,…
昭.36(1961),200900,…,369,741700,…,107,…,…,…,111,…,…,…,411,826100,…,…,…,111,…,…,…,…,…,…,426,854500,…,…,…,…,115,…
昭.37(1962),211100,…,388,820400,…,98,…,…,97,…,…,…,…,367,775600,…,…,…,95,…,…,…,…,…,…,356,750900,…,…,…,…,92,…
昭.38(1963),219300,…,388,852800,…,101,…,…,104,…,…,…,…,399,876700,…,…,…,103,…,…,…,…,…,…,396,867700,…,…,…,392,102,101
昭.39(1964),224400,…,389,872800,…,96,…,…,83,…,…,…,…,274,615000,…,…,…,70,…,…,…,…,…,…,264,591200,…,…,…,396,68,67
昭.40(1965),229700,…,389,893500,…,95,…,…,…,…,364,94,835000,…,…,…,…,…,…,…,…,…,…,…,…,334,768000,…,…,…,384,86,87
昭.41(1966),236800,…,389,921200,…,85,…,…,77,…,…,…,…,278,657900,…,…,…,71,…,…,…,…,…,…,283,670300,…,…,…,362,73,78
昭.42(1967),246600,…,389,959300,…,108,…,…,110,…,…,…,…,443,1093000,…,…,…,114,…,…,…,…,…,…,452,1114000,…,…,…,324,116,140
昭.43(1968),258600,…,390,1009000,…,113,…,…,113,…,…,…,…,456,1178000,…,…,…,117,…,…,…,…,…,…,474,1227000,…,…,…,338,122,140
昭.44(1969),266200,…,406,1081000,…,89,…,…,90,…,…,…,…,349,929800,…,…,…,86,…,…,…,…,…,…,351,933800,…,…,…,356,86,99
昭.45(1970),206400,…,406,838000,…,110,…,…,111,…,…,…,…,446,920700,…,…,…,110,…,…,…,…,…,…,443,914100,…,…,…,379,109,117
昭.46(1971),190400,…,411,782500,…,58,…,…,58,…,…,…,…,254,483000,…,…,…,62,…,…,…,…,…,…,273,518900,…,…,…,415,66,66
昭.47(1972),154100,…,413,636400,…,112,…,…,114,…,…,…,…,498,767200,…,…,…,121,…,…,…,…,…,…,500,770900,…,…,…,415,121,120
昭.48(1973),145300,…,423,614600,…,117,…,…,118,…,…,…,…,481,698200,…,…,…,114,…,…,…,…,…,…,479,696000,…,…,…,423,113,113
昭.49(1974),165900,…,429,711700,…,113,…,…,115,…,…,…,…,503,834000,…,…,…,117,…,…,…,…,…,…,503,834800,…,…,…,424,117,119
昭.50(1975),185500,…,445,825500,…,102,…,…,103,…,…,…,…,445,826000,…,…,…,100,…,…,…,…,…,…,446,826600,…,…,…,474,100,94
昭.51(1976),205200,…,451,925500,…,96,…,…,83,…,…,…,…,358,735300,…,…,…,79,…,…,…,…,…,…,361,741100,…,…,…,475,80,76
昭.52(1977),196300,…,451,885300,…,102,…,…,106,…,…,…,…,502,985800,…,…,…,111,…,…,…,…,…,…,504,990200,…,…,…,475,112,106
昭.53(1978),175200,…,456,798900,…,113,…,…,117,…,…,…,…,536,938800,…,…,…,118,…,…,…,…,…,…,536,938800,…,…,…,476,118,113
昭.54(1979),172600,…,470,811200,…,99,…,…,105,…,…,…,…,502,867100,…,…,…,107,…,…,…,…,…,…,502,867300,…,…,…,484,107,104
昭.55(1980),154200,…,475,732500,…,101,…,…,84,…,…,…,…,394,606800,…,…,…,83,…,…,…,…,…,…,385,594200,…,…,…,484,81,80
昭.56(1981),145000,…,477,691700,…,88,…,…,87,…,…,…,…,416,602900,…,…,…,87,…,…,…,…,…,…,413,598300,…,…,…,464,87,89
昭.57(1982),144900,…,477,691200,…,103,…,…,103,…,…,…,…,503,728700,…,…,…,105,…,…,…,…,…,…,501,726500,…,…,…,473,105,106
昭.58(1983),147100,…,482,709000,…,77,…,…,80,…,…,…,…,370,544700,…,…,…,77,…,…,…,…,…,…,355,522000,…,…,…,472,74,75
昭.59(1984),154700,…,482,745700,…,114,…,…,114,…,…,…,…,551,852900,…,…,…,114,…,…,…,…,…,…,551,852900,…,…,…,433,114,127
昭.60(1985),163900,…,482,790000,…,107,…,…,110,…,…,…,…,501,821500,…,…,…,104,…,…,…,…,…,…,497,815100,…,…,…,433,103,115
昭.61(1986),158300,…,487,770900,…,99,…,…,102,…,…,…,…,525,831800,…,…,…,108,…,…,…,…,…,…,526,832100,…,…,…,470,108,112
昭.62(1987),150000,…,490,735000,…,103,…,…,101,…,…,…,…,474,710400,…,…,…,97,…,…,…,…,…,…,472,708100,…,…,…,508,96,93
昭.63(1988),148900,…,490,729600,…,105,…,…,106,…,…,…,…,513,763200,…,…,…,105,…,…,…,…,…,…,512,763100,…,…,…,498,104,103
平.元(1989),148200,…,490,726200,…,104,…,…,106,…,…,…,…,526,780200,…,…,…,107,…,…,…,…,…,…,526,779500,…,…,…,512,107,103
平.2(1990),146300,…,494,722700,…,109,…,…,109,…,…,…,…,539,788500,…,…,…,109,…,…,…,…,…,…,540,789700,…,…,…,512,109,105
平.3(1991),145100,…,502,728400,…,104,…,…,100,…,…,…,…,500,725700,…,…,…,100,…,…,…,…,…,…,500,724900,…,…,…,521,100,96
平.4(1992),162200,…,502,814200,…,96,…,…,96,…,…,…,…,453,734400,…,…,…,90,…,…,…,…,…,…,445,722300,…,…,…,513,89,87
平.5(1993),172600,…,503,868200,…,88,…,…,46,…,…,…,…,209,361100,…,…,…,42,…,…,…,…,…,…,203,350700,…,…,…,513,40,40
平.6(1994),175800,…,503,884300,…,106,…,…,107,…,…,…,…,541,950300,…,…,…,108,…,…,…,…,…,…,541,950300,…,…,…,490,108,110
平.7(1995),163200,…,505,824200,…,100,…,…,103,…,…,…,…,522,852200,…,…,…,103,…,…,…,…,…,…,522,852200,…,…,…,495,103,105
平.8(1996),154800,…,507,784800,…,97,…,…,98,…,…,…,…,512,792800,…,…,…,101,…,…,…,…,…,…,512,792500,…,…,…,489,101,105
平.9(1997),154300,…,508,783800,…,104,…,…,104,…,…,…,…,519,801300,…,…,…,102,…,…,…,…,…,…,520,801600,…,…,…,493,102,105
平.10(1998),141700,…,509,721300,…,100,…,…,102,…,…,…,…,536,759900,…,…,…,105,…,…,…,…,…,…,536,759800,…,…,…,518,105,103
